0,1,2,3,4,5,6
rescal,random,17,0.001,,1.0907476086740005e-223,0.0
rescal,random,91193,0.001,,1.2256407293203192e-220,0.0
rescal,sentbert,17,0.001,,0.077995252356847,0.00416184234425748
rescal,sentbert,91193,0.001,,0.0782366634136413,0.004173191663171381
rotate,dct1,17,0.001,,0.004023608737086771,0.0003544551407896388
rotate,dct1,91193,0.001,,0.00401273769395948,0.0003464408659823646
rotate,dct2,17,0.001,,0.016599936288085676,0.0011400272772404264
rotate,dct2,91193,0.001,,0.016555773579716115,0.0011519734082441912
rotate,dct3,17,0.001,,0.03635738957008875,0.0018803550859897969
rotate,dct3,91193,0.001,,0.0363126548361519,0.0018966847003496579
rotate,gem,17,0.001,,0.0,0.0
rotate,gem,91193,0.001,,0.0,0.0
rotate,glove,17,0.001,,8.747637244485359e-06,1.9057593397664643e-06
rotate,glove,91193,0.001,,8.969750363884131e-06,1.878766526152679e-06
rotate,laser,17,0.001,,1.0247227836624002e-07,1.3534176030171008e-08
rotate,laser,91193,0.001,,1.0158923486566352e-07,1.3315472986688137e-08
rotate,random,17,0.001,,1.090617481406451e-223,0.0
rotate,random,91193,0.001,,1.2254049808519214e-220,0.0
rotate,sentbert,17,0.001,,0.07796500428336704,0.004160746286754731
rotate,sentbert,91193,0.001,,0.0782065901021704,0.004172351449874978
transe,dct1,17,0.001,,0.004026809785301298,0.00035462110062755734
transe,dct1,91193,0.001,,0.00401593372556372,0.0003466164004452094
transe,dct2,17,0.001,,0.0166066536491652,0.0011402566899606792
transe,dct2,91193,0.001,,0.016562479208688873,0.0011522609110648026
transe,dct3,17,0.001,,0.036367534356150324,0.0018806340441686572
transe,dct3,91193,0.001,,0.036322790341548054,0.0018970714408826227
transe,gem,17,0.001,,0.0,0.0
transe,gem,91193,0.001,,0.0,0.0
transe,glove,17,0.001,,8.886785661312646e-06,1.9186277826930287e-06
transe,glove,91193,0.001,,9.110186077431984e-06,1.88858394956646e-06
transe,laser,17,0.001,,8.711380819567009e-08,1.260445376046625e-08
transe,laser,91193,0.001,,8.630353765980152e-08,1.2245177010633888e-08
transe,random,17,0.001,,1.0906844125259766e-223,0.0
transe,random,91193,0.001,,1.2254921552420993e-220,0.0
transe,sentbert,17,0.001,,0.0779799632589619,0.004161116038884593
transe,sentbert,91193,0.001,,0.07822157243065406,0.004172908640029044
